iter	Passed	Remaining
643	28017	15487
644	28048	15437
645	28089	15392
646	28126	15345
647	28165	15299
648	28202	15253
649	28245	15209
650	28288	15165
651	28323	15117
652	28362	15071
653	28405	15027
654	28447	14983
655	28480	14934
656	28517	14888
657	28557	14842
658	28594	14796
659	28631	14749
660	28669	14703
661	28708	14657
662	28744	14610
663	28785	14565
664	28830	14523
665	28873	14480
666	28917	14436
667	28964	14395
668	29012	14354
669	29056	14311
670	29094	14265
671	29132	14219
672	29176	14176
673	29212	14129
674	29252	14084
675	29293	14040
676	29334	13995
677	29373	13950
678	29414	13905
679	29456	13861
680	29499	13818
681	29541	13774
682	29576	13727
683	29617	13682
684	29663	13640
685	29701	13595
686	29741	13550
687	29775	13502
688	29814	13457
689	29851	13411
690	29894	13368
691	29935	13324
692	29981	13281
693	30019	13236
694	30059	13191
695	30097	13145
696	30134	13100
697	30168	13053
698	30208	13008
699	30247	12963
700	30289	12919
701	30331	12875
702	30373	12832
703	30412	12787
704	30447	12740
705	30489	12696
706	30528	12651
707	30568	12607
708	30607	12562
709	30645	12517
710	30681	12471
711	30720	12426
712	30762	12382
713	30800	12337
714	30847	12295
715	30883	12249
716	30919	12204
717	30954	12157
718	30989	12111
719	31032	12068
720	31067	12021
721	31103	11976
722	31141	11930
723	31177	11885
724	31217	11841
725	31254	11795
726	31293	11751
727	31331	11706
728	31370	11661
729	31417	11620
730	31453	11574
731	31515	11538
732	31594	11508
733	31661	11473
734	31703	11430
735	31744	11386
736	31786	11343
737	31826	11298
738	31867	11255
739	31908	11211
740	31948	11167
741	31984	11121
742	32023	11076
743	32061	11032
744	32099	10987
745	32134	10941
746	32174	10897
747	32215	10853
748	32249	10807
749	32285	10761
750	32321	10716
751	32358	10671
752	32400	10627
753	32446	10586
754	32490	10543
755	32535	10500
756	32575	10456
757	32617	10413
758	32653	10368
759	32691	10323
760	32733	10280
761	32771	10235
762	32807	10190
763	32849	10147
764	32889	10103
765	32931	10059
766	32974	10016
767	33019	9974
768	33057	9930
769	33094	9885
770	33132	9840
771	33166	9795
772	33206	9751
773	33244	9707
774	33286	9663
775	33325	9619
776	33364	9575
777	33409	9533
778	33449	9489
779	33490	9446
780	33532	9402
781	33570	9358
782	33611	9315
783	33653	9271
784	33698	9229
785	33736	9185
786	33774	9141
787	33819	9098
788	33859	9055
789	33900	9011
790	33936	8966
791	33979	8923
792	34021	8880
793	34061	8837
794	34107	8794
795	34148	8751
796	34190	8708
797	34227	8664
798	34272	8621
799	34313	8578
800	34354	8535
801	34405	8494
802	34452	8452
803	34498	8410
804	34535	8365
805	34574	8322
806	34615	8278
807	34657	8235
808	34704	8193
809	34745	8150
810	34781	8105
811	34823	8062
812	34864	8019
813	34905	7975
814	34947	7932
815	34987	7889
816	35033	7847
817	35072	7803
818	35113	7760
819	35155	7717
820	35197	7674
821	35238	7630
822	35282	7588
823	35326	7545
824	35366	7501
825	35411	7459
826	35452	7416
827	35491	7372
828	35531	7329
829	35570	7285
830	35614	7242
831	35656	7199
832	35700	7157
833	35740	7113
834	35785	7071
835	35829	7028
836	35874	6986
837	35917	6943
838	35960	6900
839	35997	6856
840	36087	6822
841	36200	6792
842	36272	6755
843	36306	6710
844	36348	6667
845	36391	6624
846	36432	6581
847	36478	6538
848	36516	6494
849	36562	6452
850	36603	6408
851	36646	6365
852	36683	6321
853	36723	6278
854	36765	6235
855	36803	6191
856	36842	6147
857	36880	6103
858	36915	6059
859	36955	6016
860	36992	5972
861	37031	5928
862	37070	5884
863	37117	5842
864	37152	5798
865	37186	5754
866	37225	5710
867	37262	5666
868	37306	5623
869	37343	5580
870	37384	5536
871	37425	5493
872	37458	5449
873	37496	5405
874	37538	5362
875	37579	5319
876	37623	5276
877	37668	5234
878	37713	5191
879	37757	5148
880	37797	5105
881	37838	5062
882	37874	5018
883	37910	4974
884	37947	4931
885	37983	4887
886	38025	4844
887	38066	4801
888	38098	4757
889	38134	4713
890	38173	4669
891	38211	4626
892	38252	4583
893	38293	4540
894	38334	4497
895	38383	4455
896	38423	4412
